Settlement Name,Settlement Code,All Ages,Under 16,16 to 64,65 & Over
Fochabers,S20001217,1720,285,986,449
Forfar,S20001218,14230,2429,8529,3272
Forgandenny,S20001219,600,180,381,39
Forres,S20001220,10100,1553,6158,2389
Fort Augustus,S20001221,660,78,406,176
Fort William,S20001222,10340,1961,6444,1935
Forth,S20001223,2190,375,1302,513
Fortrose,S20001224,1590,241,874,475
Fraserburgh,S20001225,13180,2381,8289,2510
Freuchie,S20001226,1240,197,735,308
Friockheim,S20001227,980,170,600,210
Gairloch,S20001228,620,92,351,177
Galashiels,S20001229,15040,2436,9832,2772
Galston,S20001230,4740,780,3020,940
Gardenstown,S20001231,590,66,352,172
Garelochhead,S20001232,3700,281,3170,249
Gargunnock,S20001233,740,121,460,159
Garmouth,S20001234,590,84,349,157
Gartcosh,S20001235,2200,512,1456,232
Gartloch,S20001236,530,123,380,27
Gatehouse of Fleet,S20001237,970,114,474,382
Gauldry,S20001238,660,109,369,182
Gifford,S20001239,790,158,460,172
Girvan,S20001240,6450,1065,3749,1636
Glassford,S20001241,640,113,422,105
Glenboig,S20001242,2820,612,1827,381
Glenfarg,S20001243,670,116,437,117
Glenluce,S20001244,590,93,322,175
Glenmavis,S20001245,2240,397,1480,363
Glenrothes,S20001246,47010,8645,29163,9202
Golspie,S20001247,1350,214,782,354
Gourdon,S20001248,860,197,560,103
Grantown-on-Spey,S20001249,2470,431,1436,603
Greater Glasgow,S20001250,985290,164860,665718,154712
Greenlaw,S20001251,630,94,390,146
Greenock,S20001252,67650,10869,42917,13864
Gretna,S20001253,3040,478,1757,805
Gullane,S20001254,2650,442,1436,772
Haddington,S20001255,9130,1677,5546,1907
Halkirk,S20001256,970,140,566,264
Hallglen,S20001257,3180,654,2068,458
Hamilton,S20001258,83730,14638,53844,15248
Harthill,S20001259,3590,664,2222,704
Hatton of Cruden,S20001260,900,151,597,152
Hawick,S20001261,13740,2296,8177,3267
Helensburgh,S20001262,15610,2751,9119,3740
High Valleyfield,S20001263,3320,587,2078,655
Hillhead,S20001264,600,110,398,92
Hillside,S20001265,1210,252,702,256
Hopeman,S20001266,1700,304,1046,350
Houston,S20001267,6430,1197,4077,1156
Howwood,S20001268,1550,268,1012,270
Huntly,S20001269,4810,787,2791,1232
Inchture,S20001270,1460,360,883,217
Innellan,S20001271,1210,132,638,440
Innerleithen,S20001272,3110,525,1793,792
Insch,S20001273,2690,509,1628,553
Inverallochy and Cairnbulg,S20001274,1350,241,840,269
Inveraray,S20001275,560,83,344,133
Inverbervie,S20001276,2410,482,1506,422
Invergordon,S20001277,3980,750,2406,824
Inverkip,S20001278,3490,658,2351,481
Inverness and Culloden,S20001279,63220,11574,40766,10880
Inverurie,S20001280,13640,2386,8742,2512
Irvine,S20001281,37630,6801,23819,7010
